Major,semester,mean_no counterfactual,mean_50%,mean_100%,mean_150%,diff_50%,pval_50%,tag_50%,diff_100%,pval_100%,tag_100%,diff_150%,pval_150%,tag_150%
Artes,201710,0.5550310586982413,1.0419364228628445,3.1543938453846434,,0.48690536416460317,0.0,Significant,2.599362786686402,0.0,Significant,,,NA
Biología,201710,0.4284218673999157,0.7548831295741101,1.7333352605905836,10.505190311418685,0.32646126217419436,0.0,Significant,1.304913393190668,0.0,Significant,10.07676844401877,0.0,Significant
Cpol,201710,0.38947442702640506,0.5183695908246507,0.7592529353228107,1.3532458526251883,0.12889516379824567,0.0,Significant,0.36977850829640563,0.0,Significant,0.9637714255987833,0.0,Significant
Derecho,201710,0.39465815026049106,0.4932012584456975,0.6665446899492087,0.8915075222815786,0.09854310818520645,0.0,Significant,0.2718865396887176,0.0,Significant,0.49684937202108753,0.0,Significant
Diseño,201710,0.14617632875109401,0.19842594303835853,0.3175368357018626,0.6269686954803365,0.05224961428726452,1.2757190627632301e-182,Significant,0.17136050695076857,0.0,Significant,0.4807923667292425,0.0,Significant
Economía,201710,0.17217450125495717,0.21502304993841248,0.2293718165450246,0.2533812462616275,0.042848548683455306,3.1260674858825597e-23,Significant,0.05719731529006741,1.6318494913421047e-43,Significant,0.08120674500667033,3.819008850977224e-95,Significant
Filosofía,201710,0.25180094273198195,0.3343993106375251,0.5138480005698909,0.8996953414232827,0.08259836790554315,2.6735607304907493e-13,Significant,0.26204705783790894,4.506790020286729e-83,Significant,0.6478943986913007,8.51460415229966e-262,Significant
Física,201710,0.331963947472716,0.4625415808366453,0.7121398745371659,1.263957359767654,0.1305776333639293,0.0,Significant,0.38017592706444986,0.0,Significant,0.931993412294938,0.0,Significant
Geociencias,201710,0.5643076660395173,1.242614103220317,,,0.6783064371807997,0.0,Significant,,,NA,,,NA
GobPolítica,201710,0.38886227737379353,0.5434054784964268,0.8241100481271905,1.2890752700710502,0.1545432011226333,0.0,Significant,0.43524777075339693,0.0,Significant,0.9002129926972566,0.0,Significant
Historia,201710,0.6670068378794353,1.0836298314406843,3.6677826689184014,,0.416622993561249,0.0,Significant,3.000775831038966,0.0,Significant,,,NA
IngAmbiental,201710,0.626153502519632,1.5259847866365912,,,0.8998312841169592,0.0,Significant,,,NA,,,NA
IngBiomédica,201710,0.6230120676887874,1.900324373536884,,,1.2773123058480966,0.0,Significant,,,NA,,,NA
IngCivil,201710,0.44205915328964,0.9621456103156998,3.3961825809497173,,0.5200864570260597,0.0,Significant,2.954123427660077,0.0,Significant,,,NA
IngElectrónica,201710,0.6500523634323477,1.72250356751231,,,1.0724512040799623,0.0,Significant,,,NA,,,NA
IngEléctrica,201710,0.9829209952808744,,,,,,NA,,,NA,,,NA
IngIndustrial,201710,0.21386410668775152,0.27093972872255123,0.3943335596970065,0.4781722819850594,0.05707562203479971,2.3934178004003173e-50,Significant,0.180469453009255,9.132391544671314e-303,Significant,0.2643081752973079,0.0,Significant
IngMecánica,201710,0.3341727799104022,0.4834005001755764,0.7553164528142453,1.4447177192560738,0.14922772026517422,1.917370283717237e-273,Significant,0.42114367290384314,0.0,Significant,1.1105449393456717,0.0,Significant
IngQuímica,201710,0.4495456863833074,0.900232656129089,2.140807297195189,,0.4506869697457816,0.0,Significant,1.6912616108118816,0.0,Significant,,,NA
IngSistemas,201710,0.41843303094875534,0.6857087381085116,1.6538496852842024,9.953703703703704,0.2672757071597563,0.0,Significant,1.235416654335447,0.0,Significant,9.53527067275495,0.0,Significant
Literatura,201710,0.30044497328647485,0.5411690743418482,1.4902250885685462,6.624956425082064,0.2407241010553734,0.0,Significant,1.1897801152820713,0.0,Significant,6.324511451795589,0.0,Significant
Matemáticas,201710,0.1672315223817496,0.1672315223817496,0.19153274047835134,0.19153274047835134,0.0,1.0,Not significant,0.02430121809660174,1.0362325284802552e-33,Significant,0.02430121809660174,1.0362325284802552e-33,Significant
Medicina,201710,0.49434355275367703,0.8567039186429601,2.584732260870102,,0.3623603658892831,0.0,Significant,2.090388708116425,0.0,Significant,,,NA
Microbiología,201710,0.7813310992577146,2.755905580531168,,,1.9745744812734531,0.0,Significant,,,NA,,,NA
Música,201710,0.199728572991829,0.24614966627439105,0.3108283828813534,0.4682011700474396,0.046421093282562054,1.1212619352211981e-121,Significant,0.11109980988952439,0.0,Significant,0.2684725970556106,0.0,Significant
Psicología,201710,0.4491311450065716,0.6441478672557984,1.2652981661186733,2.586902220569259,0.19501672224922684,4.577874784561162e-182,Significant,0.8161670211121017,0.0,Significant,2.1377710755626875,0.0,Significant
Química,201710,0.5232457551873223,1.0969582115587775,2.4193545603452487,,0.5737124563714552,0.0,Significant,1.8961088051579265,0.0,Significant,,,NA
total,201710,0.3401126050559205,0.6329966956499153,1.0591812392302604,2.379829336605905,0.29288409059399484,0.0,Significant,0.71906863417434,0.0,Significant,2.0397167315499845,0.0,Significant
Cpol,201720,0.16042573718173594,0.1368790719398392,0.32405137775098025,0.24420831992666503,-0.023546665241896747,4.7351764203640213e-07,Significant,0.1636256405692443,1.2141228868453169e-96,Significant,0.08378258274492908,2.2347301655613825e-50,Significant
Diseño,201720,0.16740125082904267,0.15659479688691202,0.14977840261379857,0.15808278628244254,-0.010806453942130645,0.0008405079883862549,Significant,-0.017622848215244097,6.7744639824144295e-09,Significant,-0.009318464546600125,0.00134811481992958,Significant
Física,201720,0.21608407216407602,0.21608407216407602,0.2348049783993686,0.2348049783993686,0.0,1.0,Not significant,0.018720906235292573,2.815801694652107e-12,Significant,0.018720906235292573,2.815801694652107e-12,Significant
Geociencias,201720,0.2523172051150952,0.28800855800273595,0.3540264504331451,0.46773730522677565,0.03569135288764075,2.389470058782852e-62,Significant,0.10170924531804992,0.0,Significant,0.21542010011168045,0.0,Significant
IngBiomédica,201720,0.16033528292962496,0.16751657770969908,0.18740082490258622,0.20043613882691338,0.007181294780074121,0.0012910730502126632,Significant,0.027065541972961266,3.5738110341119694e-34,Significant,0.04010085589728843,2.6824226195790036e-70,Significant
IngEléctrica,201720,0.2667695744647728,0.2667695744647728,0.32750005642895563,0.32750005642895563,0.0,1.0,Not significant,0.06073048196418285,2.2555692547252574e-131,Significant,0.06073048196418285,2.2555692547252574e-131,Significant
IngIndustrial,201720,0.2003787506033299,0.22669974664851325,0.26549490105964463,0.27379515229494517,0.026320996045183342,1.3140496362628103e-57,Significant,0.06511615045631472,1.8871274297505208e-162,Significant,0.07341640169161526,1.1659643710442648e-171,Significant
IngMecánica,201720,0.14536712581285186,0.1512182493635603,0.1600764770020706,0.17041036540116677,0.005851123550708437,0.03144679121753486,Significant,0.014709351189218733,3.11086395014476e-08,Significant,0.02504323958831492,8.105142965934649e-21,Significant
